"COMMUNITY AREA","YEAR","VALUE","GI_VAR"
"9. Edison Park","1980",12457,"Population"
"9. Edison Park","1990",11426,"Population"
"9. Edison Park","2000",11259,"Population"
"9. Edison Park","2010",11341,"Population"
"9. Edison Park","2008 - 2012",11183,"Population"
"9. Edison Park","2013 - 2017",11753,"Population"
"10. Norwood Park","1970",41827,"Population"
"10. Norwood Park","1980",40585,"Population"
"10. Norwood Park","1990",37719,"Population"
"10. Norwood Park","2000",37669,"Population"
"10. Norwood Park","2010",36742,"Population"
"10. Norwood Park","2008 - 2012",37181,"Population"
"10. Norwood Park","2013 - 2017",36936,"Population"
"11. Jefferson Park","1970",27553,"Population"
"11. Jefferson Park","1980",24583,"Population"
"11. Jefferson Park","1990",23649,"Population"
"11. Jefferson Park","2000",25859,"Population"
"11. Jefferson Park","2010",25448,"Population"
"11. Jefferson Park","2008 - 2012",26771,"Population"
"11. Jefferson Park","2013 - 2017",26808,"Population"
"12. Forest Glen","1970",20531,"Population"
"12. Forest Glen","1980",18991,"Population"
"12. Forest Glen","1990",17655,"Population"
"12. Forest Glen","2000",18165,"Population"
"12. Forest Glen","2010",18508,"Population"
"12. Forest Glen","2008 - 2012",18542,"Population"
"12. Forest Glen","2013 - 2017",18997,"Population"
"13. North Park","1970",16732,"Population"
"13. North Park","1980",15273,"Population"
"13. North Park","1990",16236,"Population"
"13. North Park","2000",18514,"Population"
"13. North Park","2010",17931,"Population"
"13. North Park","2008 - 2012",18739,"Population"
"13. North Park","2013 - 2017",18842,"Population"
"14. Albany Park","1970",47092,"Population"
"14. Albany Park","1980",46075,"Population"
"14. Albany Park","1990",49501,"Population"
"14. Albany Park","2000",57655,"Population"
"14. Albany Park","2010",51542,"Population"
"14. Albany Park","2008 - 2012",53897,"Population"
"14. Albany Park","2013 - 2017",51992,"Population"
"15. Portage Park","1970",63608,"Population"
"15. Portage Park","1980",57349,"Population"
"15. Portage Park","1990",56513,"Population"
"15. Portage Park","2000",65340,"Population"
"15. Portage Park","2010",64124,"Population"
"15. Portage Park","2008 - 2012",63619,"Population"
"15. Portage Park","2013 - 2017",64313,"Population"
"16. Irving Park","1970",54900,"Population"
"16. Irving Park","1980",49489,"Population"
"16. Irving Park","1990",50159,"Population"
"16. Irving Park","2000",58643,"Population"
"16. Irving Park","2010",53359,"Population"
"16. Irving Park","2008 - 2012",56513,"Population"
"16. Irving Park","2013 - 2017",54606,"Population"
"17. Dunning","1970",43856,"Population"
"17. Dunning","1980",37860,"Population"
"17. Dunning","1990",36957,"Population"
"17. Dunning","2000",42164,"Population"
"17. Dunning","2010",41932,"Population"
"17. Dunning","2008 - 2012",42115,"Population"
"17. Dunning","2013 - 2017",43689,"Population"
"18. Montclare","1970",11675,"Population"
"18. Montclare","1980",10793,"Population"
"18. Montclare","1990",10573,"Population"
"18. Montclare","2000",12646,"Population"
"18. Montclare","2010",13426,"Population"
"18. Montclare","2008 - 2012",12401,"Population"
"18. Montclare","2013 - 2017",13784,"Population"
"19. Belmont Cragin","1970",57399,"Population"
"19. Belmont Cragin","1980",53371,"Population"
"19. Belmont Cragin","1990",56787,"Population"
"19. Belmont Cragin","2000",78144,"Population"
"19. Belmont Cragin","2010",78743,"Population"
"19. Belmont Cragin","2008 - 2012",77885,"Population"
"19. Belmont Cragin","2013 - 2017",79956,"Population"
"20. Hermosa","1970",19838,"Population"
"20. Hermosa","1980",19547,"Population"
"20. Hermosa","1990",23131,"Population"
"20. Hermosa","2000",26908,"Population"
"20. Hermosa","2010",25010,"Population"
"20. Hermosa","2008 - 2012",25068,"Population"
"20. Hermosa","2013 - 2017",24144,"Population"
"21. Avondale","1970",35806,"Population"
"21. Avondale","1980",33527,"Population"
"21. Avondale","1990",35579,"Population"
"21. Avondale","2000",43083,"Population"
"21. Avondale","2010",39262,"Population"
"21. Avondale","2008 - 2012",41542,"Population"
"21. Avondale","2013 - 2017",37368,"Population"
"22. Logan Square","1970",88555,"Population"
"22. Logan Square","1980",84768,"Population"
"22. Logan Square","1990",82605,"Population"
"22. Logan Square","2000",82715,"Population"
"22. Logan Square","2010",73595,"Population"
"22. Logan Square","2008 - 2012",73786,"Population"
"22. Logan Square","2013 - 2017",73927,"Population"
"23. Humboldt Park","1970",71726,"Population"
"23. Humboldt Park","1980",70879,"Population"
"23. Humboldt Park","1990",67573,"Population"
"23. Humboldt Park","2000",65836,"Population"
"23. Humboldt Park","2010",56323,"Population"
"23. Humboldt Park","2008 - 2012",54351,"Population"
"23. Humboldt Park","2013 - 2017",56427,"Population"
"24. West Town","1970",124800,"Population"
"24. West Town","1980",96428,"Population"
"24. West Town","1990",87703,"Population"
"24. West Town","2000",87435,"Population"
"24. West Town","2010",78188,"Population"
"24. West Town","2008 - 2012",84087,"Population"
"24. West Town","2013 - 2017",83621,"Population"
"25. Austin","1970",127981,"Population"
"25. Austin","1980",138026,"Population"
"25. Austin","1990",114079,"Population"
"25. Austin","2000",117527,"Population"
"25. Austin","2010",98514,"Population"
"25. Austin","2008 - 2012",98162,"Population"
"25. Austin","2013 - 2017",95260,"Population"
"26. West Garfield Park","1970",48464,"Population"
"26. West Garfield Park","1980",33865,"Population"
"26. West Garfield Park","1990",24095,"Population"
"26. West Garfield Park","2000",23019,"Population"
"26. West Garfield Park","2010",18001,"Population"
"26. West Garfield Park","2008 - 2012",19377,"Population"
"26. West Garfield Park","2013 - 2017",17155,"Population"
"27. East Garfield Park","1970",52185,"Population"
"27. East Garfield Park","1980",31580,"Population"
"27. East Garfield Park","1990",24030,"Population"
"27. East Garfield Park","2000",20881,"Population"
"27. East Garfield Park","2010",20567,"Population"
"27. East Garfield Park","2008 - 2012",21316,"Population"
"27. East Garfield Park","2013 - 2017",20004,"Population"
"28. Near West Side","1970",78703,"Population"
"28. Near West Side","1980",57305,"Population"
"28. Near West Side","1990",46197,"Population"
"28. Near West Side","2000",46419,"Population"
"28. Near West Side","2010",54881,"Population"
"28. Near West Side","2008 - 2012",54151,"Population"
"28. Near West Side","2013 - 2017",62872,"Population"
"29. North Lawndale","1970",94772,"Population"
"29. North Lawndale","1980",61534,"Population"
"29. North Lawndale","1990",47296,"Population"
"29. North Lawndale","2000",41768,"Population"
"29. North Lawndale","2010",35912,"Population"
"29. North Lawndale","2008 - 2012",36074,"Population"
"29. North Lawndale","2013 - 2017",35947,"Population"
"30. South Lawndale","1970",62895,"Population"
"30. South Lawndale","1980",75204,"Population"
"30. South Lawndale","1990",81155,"Population"
"30. South Lawndale","2000",91071,"Population"
"30. South Lawndale","2010",79288,"Population"
"30. South Lawndale","2008 - 2012",70557,"Population"
"30. South Lawndale","2013 - 2017",74851,"Population"
"31. Lower West Side","1970",44498,"Population"
"31. Lower West Side","1980",44951,"Population"
"31. Lower West Side","1990",45654,"Population"
"31. Lower West Side","2000",44031,"Population"
"31. Lower West Side","2010",35769,"Population"
"31. Lower West Side","2008 - 2012",36577,"Population"
"31. Lower West Side","2013 - 2017",32888,"Population"
"32. Loop","1970",4936,"Population"
"32. Loop","1980",6462,"Population"
"32. Loop","1990",11954,"Population"
"32. Loop","2000",16388,"Population"
"32. Loop","2010",29283,"Population"
"32. Loop","2008 - 2012",26363,"Population"
"32. Loop","2013 - 2017",35880,"Population"
"33. Near South Side","1970",8767,"Population"
"33. Near South Side","1980",7243,"Population"
"33. Near South Side","1990",6828,"Population"
"33. Near South Side","2000",9509,"Population"
"33. Near South Side","2010",21390,"Population"
"33. Near South Side","2008 - 2012",20245,"Population"
"33. Near South Side","2013 - 2017",23620,"Population"
"34. Armour Square","1970",13058,"Population"
"34. Armour Square","1980",12475,"Population"
"34. Armour Square","1990",10801,"Population"
"34. Armour Square","2000",12032,"Population"
"34. Armour Square","2010",13391,"Population"
"34. Armour Square","2008 - 2012",13710,"Population"
"34. Armour Square","2013 - 2017",13396,"Population"
"35. Douglas","1970",41276,"Population"
"35. Douglas","1980",35700,"Population"
"35. Douglas","1990",30652,"Population"
"35. Douglas","2000",26470,"Population"
"35. Douglas","2010",18238,"Population"
"35. Douglas","2008 - 2012",19111,"Population"
"35. Douglas","2013 - 2017",20781,"Population"
"36. Oakland","1970",18291,"Population"
"36. Oakland","1980",16748,"Population"
"36. Oakland","1990",8197,"Population"
"36. Oakland","2000",6110,"Population"
"36. Oakland","2010",2939,"Population"
"36. Oakland","2008 - 2012",6260,"Population"
"36. Oakland","2013 - 2017",6645,"Population"
"37. Fuller Park","1970",7372,"Population"
"37. Fuller Park","1980",5832,"Population"
"37. Fuller Park","1990",4364,"Population"
"37. Fuller Park","2000",3420,"Population"
"37. Fuller Park","2010",2876,"Population"
"37. Fuller Park","2008 - 2012",2924,"Population"
"37. Fuller Park","2013 - 2017",2354,"Population"
"38. Grand Boulevard","1970",80150,"Population"
"38. Grand Boulevard","1980",53741,"Population"
"38. Grand Boulevard","1990",35897,"Population"
"38. Grand Boulevard","2000",28006,"Population"
"38. Grand Boulevard","2010",21929,"Population"
"38. Grand Boulevard","2008 - 2012",23151,"Population"
"38. Grand Boulevard","2013 - 2017",22905,"Population"
"39. Kenwood","1970",26908,"Population"
"39. Kenwood","1980",21974,"Population"
"39. Kenwood","1990",18178,"Population"
"39. Kenwood","2000",18363,"Population"
"39. Kenwood","2010",12249,"Population"
"39. Kenwood","2008 - 2012",18180,"Population"
"39. Kenwood","2013 - 2017",17189,"Population"
"40. Washington Park","1970",46024,"Population"
"40. Washington Park","1980",31935,"Population"
"40. Washington Park","1990",19425,"Population"
"40. Washington Park","2000",14146,"Population"
"40. Washington Park","2010",11717,"Population"
"40. Washington Park","2008 - 2012",11146,"Population"
"40. Washington Park","2013 - 2017",11502,"Population"
"41. Hyde Park","1970",33559,"Population"
"41. Hyde Park","1980",31198,"Population"
"41. Hyde Park","1990",28630,"Population"
"41. Hyde Park","2000",29920,"Population"
"41. Hyde Park","2010",17732,"Population"
"41. Hyde Park","2008 - 2012",26541,"Population"
"41. Hyde Park","2013 - 2017",26827,"Population"
"42. Woodlawn","1970",53814,"Population"
"42. Woodlawn","1980",36323,"Population"
"42. Woodlawn","1990",27473,"Population"
"42. Woodlawn","2000",27086,"Population"
"42. Woodlawn","2010",25983,"Population"
"42. Woodlawn","2008 - 2012",24445,"Population"
"42. Woodlawn","2013 - 2017",25207,"Population"
"43. South Shore","1970",80660,"Population"
"43. South Shore","1980",77743,"Population"
"43. South Shore","1990",61517,"Population"
"43. South Shore","2000",61556,"Population"
"43. South Shore","2010",38176,"Population"
"43. South Shore","2008 - 2012",47526,"Population"
"43. South Shore","2013 - 2017",48479,"Population"
"44. Chatham","1970",47287,"Population"
"44. Chatham","1980",40725,"Population"
"44. Chatham","1990",36779,"Population"
"44. Chatham","2000",37275,"Population"
"44. Chatham","2010",31028,"Population"
"44. Chatham","2008 - 2012",33244,"Population"
"44. Chatham","2013 - 2017",31071,"Population"
"45. Avalon Park","1970",14412,"Population"
"45. Avalon Park","1980",13792,"Population"
"45. Avalon Park","1990",11711,"Population"
"45. Avalon Park","2000",11147,"Population"
"45. Avalon Park","2010",10185,"Population"
"45. Avalon Park","2008 - 2012",9617,"Population"
"45. Avalon Park","2013 - 2017",10034,"Population"
"46. South Chicago","1970",45655,"Population"
"46. South Chicago","1980",46422,"Population"
"46. South Chicago","1990",40776,"Population"
"46. South Chicago","2000",38596,"Population"
"46. South Chicago","2010",31198,"Population"
"46. South Chicago","2008 - 2012",29458,"Population"
"46. South Chicago","2013 - 2017",28263,"Population"
"47. Burnside","1970",3181,"Population"
"47. Burnside","1980",3942,"Population"
"47. Burnside","1990",3314,"Population"
"47. Burnside","2000",3294,"Population"
"47. Burnside","2010",2916,"Population"
"47. Burnside","2008 - 2012",3508,"Population"
"47. Burnside","2013 - 2017",2254,"Population"
"48. Calumet Heights","1970",20123,"Population"
"48. Calumet Heights","1980",20505,"Population"
"48. Calumet Heights","1990",17453,"Population"
"48. Calumet Heights","2000",15974,"Population"
"48. Calumet Heights","2010",13812,"Population"
"48. Calumet Heights","2008 - 2012",14382,"Population"
"48. Calumet Heights","2013 - 2017",13188,"Population"
"49. Roseland","1970",62512,"Population"
"49. Roseland","1980",64372,"Population"
"49. Roseland","1990",56493,"Population"
"49. Roseland","2000",52723,"Population"
"49. Roseland","2010",44619,"Population"
"49. Roseland","2008 - 2012",45285,"Population"
"49. Roseland","2013 - 2017",42433,"Population"
"50. Pullman","1970",10893,"Population"
"50. Pullman","1980",10341,"Population"
"50. Pullman","1990",9344,"Population"
"50. Pullman","2000",8921,"Population"
"50. Pullman","2010",7325,"Population"
"50. Pullman","2008 - 2012",7262,"Population"
"50. Pullman","2013 - 2017",6613,"Population"
"51. South Deering","1970",18791,"Population"
"51. South Deering","1980",19400,"Population"
"51. South Deering","1990",17755,"Population"
"51. South Deering","2000",16990,"Population"
"51. South Deering","2010",15109,"Population"
"51. South Deering","2008 - 2012",16445,"Population"
"51. South Deering","2013 - 2017",14614,"Population"
"52. East Side","1970",24649,"Population"
"52. East Side","1980",21331,"Population"
"52. East Side","1990",20450,"Population"
"52. East Side","2000",23653,"Population"
"52. East Side","2010",23042,"Population"
"52. East Side","2008 - 2012",23517,"Population"
"52. East Side","2013 - 2017",23771,"Population"
"53. West Pullman","1970",40318,"Population"
"53. West Pullman","1980",44904,"Population"
"53. West Pullman","1990",39846,"Population"
"53. West Pullman","2000",36649,"Population"
"53. West Pullman","2010",29640,"Population"
"53. West Pullman","2008 - 2012",34501,"Population"
"53. West Pullman","2013 - 2017",30804,"Population"
"54. Riverdale","1970",15018,"Population"
"54. Riverdale","1980",13539,"Population"
"54. Riverdale","1990",10821,"Population"
"54. Riverdale","2000",9809,"Population"
"54. Riverdale","2010",6482,"Population"
"54. Riverdale","2008 - 2012",6820,"Population"
"54. Riverdale","2013 - 2017",7394,"Population"
"55. Hegewisch","1970",11346,"Population"
"55. Hegewisch","1980",11572,"Population"
"55. Hegewisch","1990",10136,"Population"
"55. Hegewisch","2000",9781,"Population"
"55. Hegewisch","2010",9426,"Population"
"55. Hegewisch","2008 - 2012",10168,"Population"
"55. Hegewisch","2013 - 2017",9384,"Population"
"56. Garfield Ridge","1970",42998,"Population"
"56. Garfield Ridge","1980",37935,"Population"
"56. Garfield Ridge","1990",33948,"Population"
"56. Garfield Ridge","2000",36101,"Population"
"56. Garfield Ridge","2010",34513,"Population"
"56. Garfield Ridge","2008 - 2012",33940,"Population"
"56. Garfield Ridge","2013 - 2017",36452,"Population"
"57. Archer Heights","1970",11134,"Population"
"57. Archer Heights","1980",9708,"Population"
"57. Archer Heights","1990",9227,"Population"
"57. Archer Heights","2000",12644,"Population"
"57. Archer Heights","2010",13393,"Population"
"57. Archer Heights","2008 - 2012",13434,"Population"
"57. Archer Heights","2013 - 2017",13169,"Population"
"58. Brighton Park","1970",35618,"Population"
"58. Brighton Park","1980",30770,"Population"
"58. Brighton Park","1990",32207,"Population"
"58. Brighton Park","2000",44912,"Population"
"58. Brighton Park","2010",45368,"Population"
"58. Brighton Park","2008 - 2012",44148,"Population"
"58. Brighton Park","2013 - 2017",44813,"Population"
"59. McKinley Park","1970",15632,"Population"
"59. McKinley Park","1980",13248,"Population"
"59. McKinley Park","1990",13297,"Population"
"59. McKinley Park","2000",15962,"Population"
"59. McKinley Park","2010",15612,"Population"
"59. McKinley Park","2008 - 2012",16434,"Population"
"59. McKinley Park","2013 - 2017",15767,"Population"
"60. Bridgeport","1970",35167,"Population"
"60. Bridgeport","1980",30923,"Population"
"60. Bridgeport","1990",29877,"Population"
"60. Bridgeport","2000",33694,"Population"
"60. Bridgeport","2010",31977,"Population"
"60. Bridgeport","2008 - 2012",32430,"Population"
"60. Bridgeport","2013 - 2017",33696,"Population"
"61. New City","1970",60817,"Population"
"61. New City","1980",55860,"Population"
"61. New City","1990",53226,"Population"
"61. New City","2000",51721,"Population"
"61. New City","2010",44377,"Population"
"61. New City","2008 - 2012",42107,"Population"
"61. New City","2013 - 2017",39646,"Population"
"62. West Elsdon","1970",14059,"Population"
"62. West Elsdon","1980",12797,"Population"
"62. West Elsdon","1990",12266,"Population"
"62. West Elsdon","2000",15921,"Population"
"62. West Elsdon","2010",18109,"Population"
"62. West Elsdon","2008 - 2012",18980,"Population"
"62. West Elsdon","2013 - 2017",19210,"Population"
"63. Gage Park","1970",26698,"Population"
"63. Gage Park","1980",24445,"Population"
"63. Gage Park","1990",26957,"Population"
"63. Gage Park","2000",39193,"Population"
"63. Gage Park","2010",39894,"Population"
"63. Gage Park","2008 - 2012",39492,"Population"
"63. Gage Park","2013 - 2017",40873,"Population"
"64. Clearing","1970",24911,"Population"
"64. Clearing","1980",22584,"Population"
"64. Clearing","1990",21490,"Population"
"64. Clearing","2000",22331,"Population"
"64. Clearing","2010",23139,"Population"
"64. Clearing","2008 - 2012",22716,"Population"
"64. Clearing","2013 - 2017",25891,"Population"
"65. West Lawn","1970",27644,"Population"
"65. West Lawn","1980",24748,"Population"
"65. West Lawn","1990",23402,"Population"
"65. West Lawn","2000",29235,"Population"
"65. West Lawn","2010",33355,"Population"
"65. West Lawn","2008 - 2012",32950,"Population"
"65. West Lawn","2013 - 2017",33108,"Population"
"66. Chicago Lawn","1970",48435,"Population"
"66. Chicago Lawn","1980",46568,"Population"
"66. Chicago Lawn","1990",51243,"Population"
"66. Chicago Lawn","2000",61412,"Population"
"66. Chicago Lawn","2010",55628,"Population"
"66. Chicago Lawn","2008 - 2012",54807,"Population"
"66. Chicago Lawn","2013 - 2017",53098,"Population"
"67. West Englewood","1970",61910,"Population"
"67. West Englewood","1980",62069,"Population"
"67. West Englewood","1990",52772,"Population"
"67. West Englewood","2000",45282,"Population"
"67. West Englewood","2010",35505,"Population"
"67. West Englewood","2008 - 2012",35294,"Population"
"67. West Englewood","2013 - 2017",29929,"Population"
"68. Englewood","1970",89713,"Population"
"68. Englewood","1980",59075,"Population"
"68. Englewood","1990",48434,"Population"
"68. Englewood","2000",40222,"Population"
"68. Englewood","2010",30654,"Population"
"68. Englewood","2008 - 2012",28824,"Population"
"68. Englewood","2013 - 2017",25075,"Population"
"69. Greater Grand Crossing","1970",54414,"Population"
"69. Greater Grand Crossing","1980",45218,"Population"
"69. Greater Grand Crossing","1990",38644,"Population"
"69. Greater Grand Crossing","2000",38619,"Population"
"69. Greater Grand Crossing","2010",32602,"Population"
"69. Greater Grand Crossing","2008 - 2012",32873,"Population"
"69. Greater Grand Crossing","2013 - 2017",31766,"Population"
"70. Ashburn","1970",47161,"Population"
"70. Ashburn","1980",40477,"Population"
"70. Ashburn","1990",37092,"Population"
"70. Ashburn","2000",39584,"Population"
"70. Ashburn","2010",41081,"Population"
"70. Ashburn","2008 - 2012",42788,"Population"
"70. Ashburn","2013 - 2017",43792,"Population"
"71. Auburn Gresham","1970",68854,"Population"
"71. Auburn Gresham","1980",65132,"Population"
"71. Auburn Gresham","1990",59808,"Population"
"71. Auburn Gresham","2000",55928,"Population"
"71. Auburn Gresham","2010",48743,"Population"
"71. Auburn Gresham","2008 - 2012",49634,"Population"
"71. Auburn Gresham","2013 - 2017",46278,"Population"
"72. Beverly","1970",26771,"Population"
"72. Beverly","1980",23360,"Population"
"72. Beverly","1990",22385,"Population"
"72. Beverly","2000",21992,"Population"
"72. Beverly","2010",20034,"Population"
"72. Beverly","2008 - 2012",21226,"Population"
"72. Beverly","2013 - 2017",20822,"Population"
"73. Washington Heights","1970",36540,"Population"
"73. Washington Heights","1980",36453,"Population"
"73. Washington Heights","1990",32114,"Population"
"73. Washington Heights","2000",29843,"Population"
"73. Washington Heights","2010",26493,"Population"
"73. Washington Heights","2008 - 2012",26021,"Population"
"73. Washington Heights","2013 - 2017",27453,"Population"
"74. Mount Greenwood","1970",23186,"Population"
"74. Mount Greenwood","1980",20084,"Population"
"74. Mount Greenwood","1990",19179,"Population"
"74. Mount Greenwood","2000",18820,"Population"
"74. Mount Greenwood","2010",19093,"Population"
"74. Mount Greenwood","2008 - 2012",18475,"Population"
"74. Mount Greenwood","2013 - 2017",19277,"Population"
"75. Morgan Park","1970",31016,"Population"
"75. Morgan Park","1980",29315,"Population"
"75. Morgan Park","1990",26740,"Population"
"75. Morgan Park","2000",25226,"Population"
"75. Morgan Park","2010",22530,"Population"
"75. Morgan Park","2008 - 2012",22681,"Population"
"75. Morgan Park","2013 - 2017",22375,"Population"
"76. O'Hare","1970",6342,"Population"
"76. O'Hare","1980",11068,"Population"
"76. O'Hare","1990",11192,"Population"
"76. O'Hare","2000",11956,"Population"
"76. O'Hare","2010",12559,"Population"
"76. O'Hare","2008 - 2012",13540,"Population"
"76. O'Hare","2013 - 2017",12139,"Population"
"77. Edgewater","1970",61598,"Population"
"77. Edgewater","1980",58561,"Population"
"77. Edgewater","1990",60703,"Population"
"77. Edgewater","2000",62198,"Population"
"77. Edgewater","2010",56521,"Population"
"77. Edgewater","2008 - 2012",55333,"Population"
"77. Edgewater","2013 - 2017",55965,"Population"
"City of Chicago","1970",58.2,"Pct White"
"City of Chicago","1980",43.2,"Pct White"
"City of Chicago","1990",37.9,"Pct White"
"City of Chicago","2000",31.3,"Pct White"
"City of Chicago","2010",31.7,"Pct White"
"City of Chicago","2008 - 2012",32.0171428296548,"Pct White"
"City of Chicago","2013 - 2017",32.7013361561398,"Pct White"
"1. Rogers Park","1970",90.8631779821343,"Pct White"
"1. Rogers Park","1980",69.6965330932013,"Pct White"
"1. Rogers Park","1990",44.7679618404054,"Pct White"
"1. Rogers Park","2000",31.8,"Pct White"
"1. Rogers Park","2010",28.585155314725,"Pct White"
"1. Rogers Park","2008 - 2012",37.9071908823989,"Pct White"
"1. Rogers Park","2013 - 2017",43.1404598452653,"Pct White"
"2. West Ridge","1970",97.1359579410686,"Pct White"
"2. West Ridge","1980",86.6184625954948,"Pct White"
"2. West Ridge","1990",72.0439318383455,"Pct White"
"2. West Ridge","2000",49.7,"Pct White"
"2. West Ridge","2010",42.5647891364636,"Pct White"
"2. West Ridge","2008 - 2012",43.1164778508921,"Pct White"
"2. West Ridge","2013 - 2017",42.2134750377222,"Pct White"
"3. Uptown","1970",87.7,"Pct White"
"3. Uptown","1980",47.4446548886888,"Pct White"
"3. Uptown","1990",38.758439198609,"Pct White"
"3. Uptown","2000",42.1,"Pct White"
"3. Uptown","2010",44.4776636087552,"Pct White"
"3. Uptown","2008 - 2012",52.3120283662151,"Pct White"
"3. Uptown","2013 - 2017",54.511582978283,"Pct White"
"4. Lincoln Square","1970",93.7299742413771,"Pct White"
"4. Lincoln Square","1980",77.333120990126,"Pct White"
"4. Lincoln Square","1990",60.2971642422757,"Pct White"
"4. Lincoln Square","2000",53.2,"Pct White"
"4. Lincoln Square","2010",54.5317898326379,"Pct White"
"4. Lincoln Square","2008 - 2012",63.0003624877013,"Pct White"
"4. Lincoln Square","2013 - 2017",64.2023253026489,"Pct White"
"5. North Center","1970",92.8317685866531,"Pct White"
"5. North Center","1980",74.4717158215068,"Pct White"
"5. North Center","1990",63.8291426840351,"Pct White"
"5. North Center","2000",68.8,"Pct White"
"5. North Center","2010",81.5331556670324,"Pct White"
"5. North Center","2008 - 2012",78.843736908253,"Pct White"
"5. North Center","2013 - 2017",77.0292547989606,"Pct White"
"6. Lake View","1970",80.4651000930896,"Pct White"
"6. Lake View","1980",67.7170602651791,"Pct White"
"6. Lake View","1990",74.9239270138744,"Pct White"
"6. Lake View","2000",79.5,"Pct White"
"6. Lake View","2010",81.3071495617874,"Pct White"
"6. Lake View","2008 - 2012",79.7988377754068,"Pct White"
"6. Lake View","2013 - 2017",79.0106499452573,"Pct White"
"7. Lincoln Park","1970",73.9705707843835,"Pct White"
"7. Lincoln Park","1980",77.4472404017779,"Pct White"
"7. Lincoln Park","1990",85.065147646173,"Pct White"
"7. Lincoln Park","2000",84.5,"Pct White"
"7. Lincoln Park","2010",82.1299751243781,"Pct White"
"7. Lincoln Park","2008 - 2012",81.48257028361,"Pct White"
"7. Lincoln Park","2013 - 2017",79.0311623098508,"Pct White"
"8. Near North Side","1970",58.1123966471702,"Pct White"
"8. Near North Side","1980",62.6647014158739,"Pct White"
"8. Near North Side","1990",71.0066516024315,"Pct White"
"8. Near North Side","2000",69.2,"Pct White"
"8. Near North Side","2010",69.3947343121232,"Pct White"
"8. Near North Side","2008 - 2012",71.7584082666799,"Pct White"
"8. Near North Side","2013 - 2017",71.4420708042253,"Pct White"
"9. Edison Park","1970",99.4713390227324,"Pct White"
"9. Edison Park","1980",98.2258970859758,"Pct White"
"9. Edison Park","1990",96.7355154909855,"Pct White"
"9. Edison Park","2000",93.3,"Pct White"
"9. Edison Park","2010",90.2300381916689,"Pct White"
"9. Edison Park","2008 - 2012",92.2203344361978,"Pct White"
"9. Edison Park","2013 - 2017",82.8214073002638,"Pct White"
"10. Norwood Park","1970",99.0460707198699,"Pct White"
"10. Norwood Park","1980",97.4867561907108,"Pct White"
"10. Norwood Park","1990",95.3021023887166,"Pct White"
"10. Norwood Park","2000",88.4,"Pct White"
"10. Norwood Park","2010",80.3074145849372,"Pct White"
